scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
individual_2015_full,2015 full,2015,25,0.025,300,0,299,6.982118142580113e-06,3.866250679833507e-06,5.566327166663296e-06,7.914631357742992e-06,1.1262486158023023e-05,1.4263447964166604e-05,8.347578544052192e-06,2.8435122224855507e-06,0.36333333333333334,linear,True,False
individual_2015_full,2015 full,2015,26,0.026,300,0,299,8.504925358416046e-06,3.978255157400601e-06,5.2883954908607926e-06,7.274481133263332e-06,1.0784172339649227e-05,1.43346986916437e-05,7.996570930090108e-06,2.8573896611496763e-06,0.6333333333333333,linear,True,False
individual_2015_full,2015 full,2015,27,0.027,300,0,299,7.721166893556462e-06,3.6125693345972216e-06,5.266653204861111e-06,7.087576720628212e-06,1.0110163289943961e-05,1.362480985782683e-05,7.613240610389621e-06,2.710581235098599e-06,0.6,linear,True,False
individual_2015_full,2015 full,2015,28,0.028,300,0,299,7.527736631736017e-06,3.7026396557328308e-06,5.1784952383639755e-06,7.260477251097555e-06,1.0075027029979996e-05,1.4783536936810103e-05,7.701688739723537e-06,2.6701251227595907e-06,0.5333333333333333,linear,True,False
individual_2015_full,2015 full,2015,29,0.029,300,0,299,8.39795864481337e-06,3.5515418233641225e-06,4.802484152432425e-06,6.7311070713408805e-06,1.0185695033997117e-05,1.372346652796594e-05,7.416538056514289e-06,2.841872972651938e-06,0.7,linear,True,False
individual_2015_full,2015 full,2015,30,0.03,300,0,299,1.023124658847981e-05,3.484299229458074e-06,4.851066080185659e-06,6.845148278412995e-06,9.641916750705432e-06,1.3575319717382353e-05,7.292621171010864e-06,2.5491369087623275e-06,0.87,linear,True,False
individual_2015_full,2015 full,2015,31,0.031,300,0,299,8.58777369557878e-06,3.684940486057953e-06,4.739021066586246e-06,6.628750587866893e-06,9.27849386618885e-06,1.228019367113756e-05,6.91759741310217e-06,2.2907172854313658e-06,0.7933333333333333,linear,True,False
individual_2015_full,2015 full,2015,32,0.032,300,0,299,6.498708636725469e-06,3.4880897354079178e-06,4.707841696808254e-06,6.458176596044306e-06,9.612756046529993e-06,1.3821184104544756e-05,7.006825922731003e-06,2.601139762299121e-06,0.5033333333333333,linear,True,False
individual_2015_full,2015 full,2015,33,0.033,300,0,299,4.684199957165572e-06,3.527411434059382e-06,4.535384863650654e-06,6.647356651329043e-06,9.759782818472258e-06,1.2571128430415661e-05,7.068673339892436e-06,2.55274008419937e-06,0.17666666666666667,linear,True,False
individual_2015_full,2015 full,2015,34,0.034,300,0,299,3.892664198845847e-06,3.554124270417781e-06,4.617828767346112e-06,6.35993778788172e-06,9.176441721597029e-06,1.2691849121456995e-05,6.853180989049469e-06,2.516286505194316e-06,0.06,linear,True,False
