scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,85,0.085,100,0,99,1.4258924495463958e-06,9.997562919921355e-07,1.521791444642317e-06,2.1216002907476177e-06,2.9829031020768906e-06,3.9077938776414375e-06,2.2353886349556864e-06,7.586572170268876e-07,0.12,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,86,0.086,100,0,99,1.429496923838071e-06,1.0292345985829655e-06,1.3446710103039835e-06,1.9178848053982e-06,2.8811663685619183e-06,3.7553721861560736e-06,2.060127214803988e-06,7.496682286225164e-07,0.22,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,87,0.087,100,0,99,1.4429256312202808e-06,1.1716544607535604e-06,1.49364874264257e-06,2.097319286592681e-06,2.944974175168202e-06,3.924517969086214e-06,2.2204532636991577e-06,7.466159103104513e-07,0.13,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,88,0.088,100,0,99,1.6837251761833967e-06,1.1169521957121556e-06,1.4899765615178382e-06,1.972794434265121e-06,2.7488272387564082e-06,3.49823083832399e-06,2.1080297269147325e-06,6.494084396838155e-07,0.24,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,89,0.089,100,0,99,2.1550917797488058e-06,1.0791974536498114e-06,1.5153660496566465e-06,2.1594426150461346e-06,3.1780257551841397e-06,3.827951820590781e-06,2.2799144144209533e-06,7.946231985832319e-07,0.49,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,90,0.09,100,0,99,3.194049877471847e-06,9.441140613019985e-07,1.4534795147449985e-06,2.1858003980088077e-06,3.064806051649802e-06,3.8086566901690367e-06,2.2320293215964094e-06,7.852516978361801e-07,0.87,linear,True,False
individual_2015_full,2015 full,2015,19,0.019,100,0,99,6.028720311142007e-06,9.070917965123944e-06,1.1682105500477643e-05,1.599284924093874e-05,2.3104375797686912e-05,3.2951180405831966e-05,1.727375686301461e-05,6.630865045457538e-06,0.01,linear,True,False
individual_2015_full,2015 full,2015,20,0.02,100,0,99,1.3250739100729953e-05,7.174842012677593e-06,9.188458709208971e-06,1.3552030830460674e-05,1.7942597168662375e-05,2.4924340598055724e-05,1.3744374089652472e-05,4.635043012992157e-06,0.48,linear,True,False
individual_2015_full,2015 full,2015,21,0.021,100,0,99,2.62940119494728e-05,6.877563987891975e-06,8.410680254837949e-06,1.2495656978396022e-05,1.655151706950621e-05,2.1543395977284393e-05,1.2833029727637817e-05,4.034744952834897e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,22,0.022,100,0,99,1.6849498786461963e-05,5.719907705949321e-06,7.4242118555035055e-06,9.951318464470439e-06,1.3884535586185917e-05,1.944955249216478e-05,1.069594473413965e-05,3.558065404194567e-06,0.94,linear,True,False
individual_2015_full,2015 full,2015,23,0.023,100,0,99,5.967122211967021e-06,4.580742027951063e-06,6.336192311681325e-06,9.286682122136292e-06,1.2545326912334801e-05,1.780393409957257e-05,9.598552028086291e-06,3.383470721518367e-06,0.13,linear,True,False
individual_2015_full,2015 full,2015,24,0.024,100,0,99,5.086191137630236e-06,4.899452171637511e-06,6.306862284168004e-06,8.54337438175415e-06,1.3235413933391782e-05,1.90533109815991e-05,9.522377913011284e-06,3.597171562236282e-06,0.04,linear,True,False
individual_2015_full,2015 full,2015,25,0.025,100,0,99,6.982118142580113e-06,3.7140195943837166e-06,5.363089997108187e-06,7.810127037013268e-06,1.145494050625147e-05,1.4797255902988286e-05,8.36144687189466e-06,3.1251434166551905e-06,0.43,linear,True,False
individual_2015_full,2015 full,2015,26,0.026,100,0,99,8.504925358416046e-06,4.028316150682125e-06,5.144867783420296e-06,7.185702716816096e-06,1.1022314285067442e-05,1.5641289122834165e-05,8.041751782434846e-06,3.2992012778223093e-06,0.66,linear,True,False
individual_2015_full,2015 full,2015,27,0.027,100,0,99,7.721166893556462e-06,3.5485554677423165e-06,5.415729127128272e-06,7.038018890072385e-06,1.0110163289943961e-05,1.5067223128010732e-05,7.668920754607792e-06,2.960105045764209e-06,0.64,linear,True,False
individual_2015_full,2015 full,2015,28,0.028,100,0,99,7.527736631736017e-06,3.7026396557328308e-06,4.863445952061959e-06,7.346863195295603e-06,1.087606293597621e-05,1.4784662326947003e-05,7.740966166593591e-06,3.007669988454646e-06,0.52,linear,True,False
individual_2015_full,2015 full,2015,29,0.029,100,0,99,8.39795864481337e-06,3.9365273202867125e-06,4.823284834282714e-06,6.720944517801939e-06,9.746273708776638e-06,1.3784336991952759e-05,7.355975275498228e-06,2.6922785405276347e-06,0.72,linear,True,False
individual_2015_full,2015 full,2015,30,0.03,100,0,99,1.023124658847981e-05,3.16628297157977e-06,4.939204215164081e-06,7.3233235794189805e-06,9.629344234407439e-06,1.2594048093822661e-05,7.337565834604477e-06,2.3870453579607453e-06,0.87,linear,True,False
individual_2015_full,2015 full,2015,31,0.031,100,0,99,8.58777369557878e-06,3.7185221445086106e-06,4.694192454017978e-06,6.267713291633782e-06,8.791382244289963e-06,1.163293895507099e-05,6.673223895995892e-06,2.1730042241012965e-06,0.83,linear,True,False
individual_2015_full,2015 full,2015,32,0.032,100,0,99,6.498708636725469e-06,3.5467785194169102e-06,4.705553104290187e-06,6.387584678649729e-06,9.929724193181298e-06,1.5043147714817539e-05,7.172891961700565e-06,2.9770145165709152e-06,0.52,linear,True,False
