mass_MeV,old_gp_mean_counts_per_0p625MeV,old_gp_pointwise_std_counts_per_0p625MeV,new_gp_mean_counts_per_0p625MeV,new_gp_pointwise_std_counts_per_0p625MeV,delta_gp_mean_new_minus_old_counts_per_0p625MeV
60.328341735781258,786293.48957975907,479.38808278940741,787318.21264741605,474.56691818856382,1024.7230676569743
60.329296499375005,786338.3467360473,479.4675914333119,787363.45396551653,474.65951137839414,1025.1072294692276
60.330251262968751,786383.20235469972,479.54717271873739,787408.69351767364,474.75208360719688,1025.4911629739217
60.331206026562505,786428.05554242048,479.62665214938858,787453.93109707604,474.84472261446228,1025.8755546555622
60.332160790156259,786472.9073285904,479.7061400248466,787499.16678324377,474.93733115914853,1026.2594546533655
60.333115553750005,786517.75686578441,479.78573674548642,787544.40024323715,475.0299647123212,1026.6433774527395
60.334070317343759,786562.60413029441,479.86521325805529,787589.63184307411,475.12254000113006,1027.0277127797017
60.335025080937505,786607.44985410327,479.94469827384637,787634.86163951049,475.21516838406967,1027.4117854072247
60.335979844531252,786652.29376190412,480.02416414419059,787680.08926511451,475.30779876005766,1027.7955032103928
60.336934608125006,786697.13555549283,480.10368396620595,787725.31493700645,475.40042633363532,1028.1793815136189
60.337889371718759,786741.97532576602,480.18319367434259,787770.53856284579,475.49305583243967,1028.5632370797684
60.338844135312506,786786.81307205861,480.26264762056576,787815.76030247833,475.58568271710038,1028.9472304197261
60.339798898906253,786831.64883961645,480.3421829260451,787860.9800750243,475.67830230444144,1029.3312354078516
60.340753662500006,786876.48294831975,480.4216259228939,787906.19783400989,475.77095629009062,1029.7148856901331
60.34170842609376,786921.31484805851,480.50117774630894,787951.41361315269,475.86358457329271,1030.0987650941825
60.342663189687507,786966.14488159691,480.58063714303785,787996.6274118392,475.95622858542299,1030.4825302422978
60.343617953281253,787010.97295679443,480.66015057011134,788041.83929822478,476.04886997154614,1030.8663414303446
60.344572716875,787055.7990958367,480.7395623862601,788087.04921435833,476.14153650337931,1031.2501185216242
60.34552748046876,787100.62329824187,480.81910163088935,788132.25707928487,476.23416788752354,1031.6337810429977
60.346482244062507,787145.44544871477,480.8985573688168,788177.46301857161,476.32685224455685,1032.0175698568346
60.347437007656254,787190.26579870528,480.97805806988106,788222.66695125087,476.41951089654941,1032.4011525455862
