mass_MeV,sigma_MeV,n_fit_bins,eps2_current,r_current,current_Ahat_window,conversion_window_per_eps2,template_window_fraction,lml_delta,log_cov_relative_load,count_cov_relative_load,prediction_hash_exact,log_mean_median_relative,gp_relative_sd_max,log_loading_count_cov_max_relative,eps2_gaussian_control,r_gaussian_control,Ahat_gaussian_control,sigma_A_gaussian_control,cls_gaussian_control,score_gaussian_control,min_lambda_gaussian_control,eps2_log_gp,r_log_gp,Ahat_log_gp,sigma_A_log_gp,cls_log_gp,score_log_gp,min_lambda_log_gp,eps2_fixed,r_fixed,Ahat_fixed,sigma_A_fixed,cls_fixed,score_fixed,min_lambda_fixed,gaussian_control_relative_to_release,dimuon_factor,eps2_current_dimuon,eps2_log_gp_dimuon,eps2_fixed_dimuon,eps2_gaussian_control_dimuon
70,2.1727875000000005,15,1.0904394755562134e-06,-3.3724140397492333,-22893.651037166703,3666273035.390485,0.9689534225316694,-8.443985279882327e-07,1e-06,1e-06,True,1.8782413468976245e-07,0.000612901545851,1.099167622548672e-06,1.0906375056244365e-06,-3.3724145038689635,-22891.51431584733,6787.153801638015,0.1000000000005579,1.3972544099516426e-07,1002080.6300615576,1.089693675334912e-06,-3.3733112252389335,-22890.456446631222,6787.471061268976,0.1000000000006404,8.115397986951933e-08,1002080.6681596875,3.472264718020587e-07,-6.148048911739149,-22000.589085695163,3576.1680082396156,0.0999999999936373,5.0067704371326016e-08,1002543.2215254316,0.0001816057403112,1.0,1.0904394755562134e-06,1.089693675334912e-06,3.472264718020587e-07,1.0906375056244365e-06
71,2.183520875,16,9.22004017783275e-07,-4.018785746758029,-27503.687147295997,3806165042.447282,0.9779717053301268,-1.0431340342620388e-06,1e-06,1e-06,True,1.9363427572471894e-07,0.0006223090785108,1.0765811722018413e-06,9.2220500596738e-07,-4.018800157046639,-27494.837557741157,6840.709599359464,0.0999999999994984,1.422076691959262e-07,1020827.0574322252,9.205331021720774e-07,-4.022258633575329,-27497.15146376244,6838.045895316811,0.0999999999995867,6.225291837580471e-08,1020827.2139415696,2.224329262078996e-07,-9.707142129317033,-35380.29557644121,3641.113176768931,0.0999999999918773,8.104628079763644e-14,1021850.4791052572,0.0002179905729569,1.0,9.22004017783275e-07,9.205331021720774e-07,2.224329262078996e-07,9.2220500596738e-07
72,2.194426,15,1.0655329476920496e-06,-3.1860623670563344,-21328.910783950283,3860929362.2115345,0.9672576281517536,-1.4433098840527236e-06,1e-06,1e-06,True,1.61094848127874e-07,0.0005676175846967,1.058728504639115e-06,1.0657183352596856e-06,-3.1860636092062236,-21321.50946496812,6691.417150544864,0.0999999999999317,1.986340558701727e-07,1054213.602409799,1.0640613703032854e-06,-3.1888076368345213,-21325.913073600263,6689.108762844795,0.1000000000000672,2.913018448680305e-08,1054214.5689766705,2.729588965490363e-07,-7.682035664656944,-27932.295853695785,3633.1846287229337,0.1000000000032893,1.1566302582366461e-07,1055383.9103807197,0.0001739857674392,1.0,1.0655329476920496e-06,1.0640613703032854e-06,2.729588965490363e-07,1.0657183352596856e-06
73,2.205502875,16,1.6292719997291636e-06,-1.604255217630641,-11062.328648846678,3987591890.336485,0.9763907063675716,0.0,1e-06,1e-06,True,1.831543581243267e-07,0.0006052344587012,1.037752141637486e-06,1.6299409068250696e-06,-1.6042391243797516,-11058.71979591927,6893.095552527297,0.1000000000001932,6.50393361389945e-08,1068820.3378672272,1.6287074056465073e-06,-1.6052909780180906,-11062.850744123958,6892.193368238429,0.1000000000000851,1.2498253543213876e-08,1068820.8325316857,5.002584671138093e-07,-3.770465045118367,-13923.766957364942,3691.4328127001104,0.0999999999998966,6.663756713098934e-09,1069659.2075167818,0.0004105558163505,1.0,1.6292719997291636e-06,1.6287074056465073e-06,5.002584671138093e-07,1.6299409068250696e-06
74,2.2167515,16,2.5771138422343087e-06,-0.2164569285851705,-1492.8475859306334,4067654086.757612,0.975676415871464,0.0,1e-06,1e-06,True,1.7482009906366613e-07,0.000591303837758,1.0187182832722923e-06,2.578904438448111e-06,-0.2158578880688802,-1491.3532303313043,6908.912481201989,0.0999999999993487,2.2759164775010277e-08,1094111.7602096142,2.577656763499201e-06,-0.2163481899988405,-1494.3966579046023,6907.4623251377,0.0999999999993828,2.8599269619178362e-09,1094112.0104374082,8.772559331433132e-07,-1.5421329911547472,-5723.83772561127,3711.0570049852295,0.0999999999700595,1.831511053929091e-10,1094656.8050789705,0.000694806796835,1.0,2.5771138422343087e-06,2.577656763499201e-06,8.772559331433132e-07,2.578904438448111e-06
75,2.228171875,16,3.859457532033964e-06,0.931389924872462,6408.060680592867,4136635594.461861,0.9742563498312596,0.0,1e-06,1e-06,True,1.711768295997729e-07,0.0005851099798409,1.0127451327907843e-06,3.860904686682339e-06,0.9310849289218096,6409.062795982055,6883.635215592831,0.0999999999999851,2.140773736059032e-08,1104704.3071319312,3.8596568647528495e-06,0.930913291093935,6406.956743584034,6882.053534989541,0.0999999999999354,2.69802047370149e-09,1104704.5453021484,1.6598690322086158e-06,0.3047419010629643,1135.0488349595091,3724.737938436148,0.1000000000000562,3.554934124849751e-13,1105206.215678005,0.0003749632264025,1.0,3.859457532033964e-06,3.8596568647528495e-06,1.6598690322086158e-06,3.860904686682339e-06
76,2.239764,16,5.055248666067921e-06,1.80814421898352,12361.587252016512,4206202626.897278,0.9744100129854094,-1.497272478445666e-06,1e-06,1e-06,True,1.585797682057688e-07,0.0005631692121401,1.004018055881026e-06,5.0555267995571686e-06,1.8081415680634725,12362.436955242738,6837.492567316425,0.0999999999995593,3.276792304163223e-08,1122669.6232397782,5.055267068189244e-06,1.8078048363578492,12362.410843991274,6837.645767214542,0.0999999999994437,7.126436274429437e-09,1122669.64421686,4.171944849510715e-06,3.4101898491024865,12752.641551695488,3740.850422333376,0.0999999999998899,4.232744377219433e-09,1122696.5800712942,5.501875528191036e-05,1.0,5.055248666067921e-06,5.055267068189244e-06,4.171944849510715e-06,5.0555267995571686e-06
77,2.2515278750000003,17,6.189369852428778e-06,2.594428421826911,17792.634344952683,4300366428.875093,0.9816560143916429,0.0,1e-06,1e-06,True,1.6829473992174829e-07,0.000580163346001,1.001333668314781e-06,6.189527886961477e-06,2.5944345901433095,17803.469183834506,6862.737450660948,0.0999999999998895,1.822178270494135e-07,1129972.2861456652,6.188333497513955e-06,2.5909603411679885,17794.044567910605,6866.827585282394,0.099999999999775,7.581037575477012e-09,1129972.4344801067,8.485567853228704e-06,8.377565547109654,31645.436340946664,3780.568536016582,0.1000000000000028,1.5487211202369624e-07,1129190.4437471791,2.5533218480422448e-05,1.0,6.189369852428778e-06,6.188333497513955e-06,8.485567853228704e-06,6.189527886961477e-06
78,2.2634635,16,6.325972345129411e-06,2.8102897012100323,18744.39607122159,4316710550.978366,0.9725912308764804,4.486214493226726e-07,1e-06,1e-06,True,1.3954216537825914e-07,0.000528284345854,1.0003090934438311e-06,6.329902772051057e-06,2.8086449518656287,18755.73147463622,6678.493358677431,0.0999999999997024,1.1456395232478657e-07,1139503.0419502838,6.329572771679412e-06,2.8060642251027432,18751.3745736915,6681.519845760354,0.0999999999997439,1.5030146682804002e-07,1139503.22863115,7.684493487492786e-06,7.5523982300199,28355.83984040326,3757.3811750021514,0.0999999999998547,9.959425129046907e-08,1138624.2970610943,0.0006213158558419,1.0,6.325972345129411e-06,6.329572771679412e-06,7.684493487492786e-06,6.329902772051057e-06
79,2.275570875,16,5.944902153866691e-06,2.6171799047559157,17393.70425032744,4363401665.5531,0.971760728877494,0.0,1e-06,1e-06,True,1.3357673900316058e-07,0.0005168689350231,1.0025166998882746e-06,5.9449422501514954e-06,2.6171802734780463,17401.37097865179,6649.497145687073,0.0999999999997525,4.2854494952671025e-08,1130637.0802472262,5.945010208531277e-06,2.615941169291237,17400.74159955897,6650.971694349351,0.0999999999998757,5.727261542798345e-08,1130637.0679358116,6.146148433154963e-06,5.8510625862799035,21996.761284078737,3761.6411101689714,0.099999999999823,3.5657230945673746e-08,1130266.1107973373,6.744650082879389e-06,1.0,5.944902153866691e-06,5.945010208531277e-06,6.146148433154963e-06,5.9449422501514954e-06
80,2.28785,17,5.221034569145116e-06,2.137399205960069,14462.276604692126,4443452290.971718,0.9797230507514318,0.0,1e-06,1e-06,True,1.489366463491848e-07,0.0005457777160593,1.0052825691044706e-06,5.221176425014105e-06,2.137398821379874,14463.763043321682,6767.468911996023,0.0999999999997748,3.372580659188884e-08,1120392.5051002027,5.221130010295143e-06,2.137021573957198,14464.247588940723,6767.740910891144,0.099999999999754,1.316032915976706e-08,1120392.493430153,4.542008504796171e-06,4.036997365832572,15317.121059001489,3795.7101681914937,0.0999999999998692,8.189032452143863e-09,1120333.706762981,2.7170068903181743e-05,1.0,5.221034569145116e-06,5.221130010295143e-06,4.542008504796171e-06,5.221176425014105e-06
81,2.3003008750000005,16,4.461039060518347e-06,1.7156965181768842,11240.948720117243,4438982361.422179,0.9702669687452552,-6.466243576142006e-07,1e-06,1e-06,True,1.2395876014537066e-07,0.0004979131810204,1.01367669873747e-06,4.461461888101133e-06,1.7157046540398633,11242.452293626644,6553.071149025731,0.0999999999992341,1.9263148631765148e-08,1114855.879078098,4.461042483252523e-06,1.7143818818799,11238.905861180432,6555.165974867211,0.0999999999994662,2.422637046528564e-08,1114855.895848889,5.239240083974137e-06,4.898869392889762,18432.06942030072,3764.349950000345,0.0999999999998984,1.7379071959311432e-08,1114456.164612201,9.478230902049134e-05,1.0,4.461039060518347e-06,4.461042483252523e-06,5.239240083974137e-06,4.461461888101133e-06
82,2.3129235,17,2.877768735995597e-06,0.428770995223808,2883.8534044786115,4510072333.908989,0.9783263351590076,0.0,1e-06,1e-06,True,1.4308395135387286e-07,0.0005349466544767,1.0186195568163526e-06,2.8787328221012157e-06,0.4287710031897662,2883.655137900062,6725.493287828357,0.0999999999999632,6.180693512547464e-09,1102822.6571497454,2.8785364482875737e-06,0.4287798168951924,2883.9403751531795,6725.793137942091,0.099999999999974,7.795215584138758e-10,1102822.6484023652,2.046554389832479e-06,1.064067958946572,4037.5138903784577,3794.8147926536913,0.0999999999776967,3.9599101775422696e-11,1102862.0942323022,0.0003350116684359,1.0,2.877768735995597e-06,2.8785364482875737e-06,2.046554389832479e-06,2.8787328221012157e-06
83,2.325717875,17,1.8664779501165972e-06,-0.7267395542130244,-4876.384763606987,4535037980.858875,0.9772060697567984,-8.286983756988775e-07,1e-06,1e-06,True,1.3969924150813998e-07,0.0005285815949843,1.0307204143860705e-06,1.8669824691656328e-06,-0.7267362152726843,-4875.562813535236,6708.684090085599,0.1000000000000723,3.2667587746004756e-08,1089565.8871868125,1.8659166646258808e-06,-0.7272770286984028,-4877.521615186649,6706.774001745293,0.0999999999999552,4.098762218518459e-09,1089566.0831198676,5.253746624420469e-07,-3.0938051601629524,-11728.878230291288,3789.91924240332,0.1000000000000968,2.816288535711919e-09,1090151.215163144,0.0002703053893586,1.0,1.8664779501165972e-06,1.8659166646258808e-06,5.253746624420469e-07,1.8669824691656328e-06
