mass_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,in_fit,gp_sd,b_gaussian_control,s_gaussian_control,total_gaussian_control,b_log_gp,s_log_gp,total_log_gp,b_fixed,s_fixed,total_fixed
182,176.9375,0.6249999999999867,145484.0,145113.35958258287,True,118.27258633086507,145000.26463520163,130.73080275474305,145130.9954379564,145000.3159031494,130.69775143692874,145131.01365458634,145113.3595788869,55.280323607125176,145168.63990249403
182,177.5625,0.6249999999999867,142126.0,142696.8797595765,True,118.5514335320927,142583.18802618168,151.91412463557305,142735.10215081726,142583.23973916625,151.87571775740807,142735.11545692367,142696.87975853673,64.23782148804209,142761.11758002476
182,178.1875,0.6250000000000422,140480.0,140319.95682529043,True,118.63244639799949,140205.9569709587,173.07596647112595,140379.03293742985,140206.008967261,173.03220946318814,140379.0411767242,140319.95682528993,73.18623639976587,140393.1430616897
182,178.81249999999997,0.6249999999999867,138628.0,137981.94816887868,True,118.51465574074528,137867.92407937616,193.32755634584257,138061.251635722,137867.97615336342,193.27867933772816,138061.25483270115,137981.94816687322,81.74974567411321,138063.69791254733
182,179.43750000000003,0.6250000000000144,136160.0,135682.21989566975,True,118.19866710227211,135568.44974156082,211.72354003248407,135780.1732815933,135568.50168910815,211.67001215792868,135780.17170126608,135682.21989468398,89.52860046456956,135771.74849514855
182,180.0625,0.6250000000000144,133012.0,133420.14694342675,True,117.68655910245253,133306.90193243552,227.33323071268623,133534.2351631482,133306.9535607304,227.27575640135555,133534.22931713177,133420.14694342625,96.12925412863034,133516.2761975549
182,180.6875,0.6249999999999867,131276.0,131195.11284881542,True,116.98178925757085,131082.65639983374,239.3178512085282,131321.97425104227,131082.7075369337,239.25734694945342,131321.96488388316,131195.11285215593,101.1970245802632,131296.3098767362
182,181.31250000000003,0.6249999999999867,129671.0,129006.50973644163,True,116.08909188230811,128895.09615681319,247.00495235705637,129142.10110917025,128895.1466225816,246.94250464764107,129142.08912722924,129006.50973878732,104.44756255705936,129110.95730134439
182,181.9375,0.6249999999999867,126958.0,126853.73825987382,True,115.01438564289515,126743.61174971817,249.95085285135107,126993.56260256952,126743.66137572231,249.8876603603584,126993.54903608267,126853.73825756501,105.69325469087511,126959.43151225589
182,182.56250000000003,0.6250000000000144,124793.0,124736.20739915849,True,113.76467916932951,124627.60162459024,247.98304105101394,124875.58466564126,124627.65025085054,247.92034606154226,124875.57059691208,124736.20740097319,104.8611533740597,124841.06855434725
182,183.1875,0.6249999999999867,123334.0,122653.33462588841,True,112.34796247696,122546.47174427993,241.21690248223717,122787.68864676217,122546.51921300855,241.15591810565473,122787.6751311142,122653.33462990387,102.00005008569134,122755.33467998957
182,183.81250000000003,0.6249999999999867,120479.0,120604.5456446742,True,110.77313150741932,120499.63545135109,230.04451698955216,120729.67996834064,120499.68163857643,229.9863572117321,120729.66799578816,120604.54564423845,97.275738198325,120701.82138243677
182,184.4375,0.6250000000000422,119145.0,118589.2744325921,True,109.04987850861113,118486.51428193523,215.09703842210718,118701.61132035733,118486.55903609008,215.04265766081758,118701.6016937509,118589.27442871011,90.95510499706558,118680.22953370717
182,185.0625,0.6249999999999867,116300.0,116606.96321318578,True,107.18860776467157,116506.53691083891,197.1856776778481,116703.72258851676,116506.580142381,197.13582526078935,116703.7159676418,116606.9632080948,83.38117599699541,116690.3443840918
182,185.68749999999997,0.6250000000000144,114491.0,114657.06228072915,True,105.20034421081407,114559.1403460882,177.22896189693512,114736.36930798514,114559.18192801444,177.18415493008322,114736.36608294453,114657.06227864519,74.94235604593942,114732.00463469113
182,186.31250000000003,0.6249999999999867,112586.0,112739.03014269145,True,103.09664892318095,112643.76901969039,156.17532081259415,112799.94434050297,112643.80885907712,156.13583662023737,112799.94469569736,112739.0301480217,66.0396944870253,112805.06984250873
182,186.9375,0.6250000000000144,111212.0,110852.33334320526,True,100.88952280839308,110759.87539914287,134.9299946294312,110894.8053937723,110759.9133954322,134.89588167333207,110894.80927710554,110852.33334360854,57.05597770569798,110909.38932131423
182,187.5625,0.6249999999999867,108696.0,108996.44648236148,True,98.59133530262561,108906.91960900379,114.29388061834265,109021.21348962213,108906.95572989814,114.26498487768364,109021.22071477582,108996.4464791885,48.32987003643931,109044.77634922494
182,188.1875,0.6249999999999867,107366.0,107170.85215966769,True,96.21474013377698,107084.37017393619,94.91958451603782,107179.28975845223,107084.40431706302,94.8955869784374,107179.29990404146,107170.85216356844,40.13732982688401,107210.98949339533
182,188.81250000000003,0.6250000000000144,104820.0,105375.0409666506,True,93.77258488764865,105291.70299190635,77.2871064104388,105368.99009831679,105291.73516060962,77.2675667100538,105369.00272731968,105375.0409662665,32.681328064990915,105407.7222943315
182,189.4375,0.6249999999999867,103959.0,103608.51144196864,True,91.27785754112381,103528.4026986997,61.698787684588694,103590.10148638429,103528.43278147405,61.68318901772863,103590.11597049178,103608.51144536134,26.089711663211123,103634.60115702455
182,190.0625,0.6249999999999867,102501.0,101870.77002899426,True,88.74358079567251,101793.96131103762,48.29081898069818,101842.25213001831,101793.98930757742,48.278610111999974,101842.26791768942,101870.77002788172,20.420069671829843,101891.19009755355
182,190.6875,0.6250000000000144,99870.0,100161.3310615687,True,86.18276143811279,100087.87909954271,37.0570515250483,100124.93615106776,100087.90505963289,37.04768277367979,100124.95274240657,100161.3310615694,15.669802044080686,100177.00086361349
