mass_MeV,sigma_MeV,n_fit_bins,eps2_current,r_current,current_Ahat_window,conversion_window_per_eps2,template_window_fraction,lml_delta,log_cov_relative_load,count_cov_relative_load,prediction_hash_exact,log_mean_median_relative,gp_relative_sd_max,log_loading_count_cov_max_relative,eps2_gaussian_control,r_gaussian_control,Ahat_gaussian_control,sigma_A_gaussian_control,cls_gaussian_control,score_gaussian_control,min_lambda_gaussian_control,eps2_log_gp,r_log_gp,Ahat_log_gp,sigma_A_log_gp,cls_log_gp,score_log_gp,min_lambda_log_gp,eps2_fixed,r_fixed,Ahat_fixed,sigma_A_fixed,cls_fixed,score_fixed,min_lambda_fixed,gaussian_control_relative_to_release
167,4.013592875000001,29,2.770216786510296e-06,-0.5651422933089646,-1790.8475949013266,1529015710.2658255,0.9760342764926518,0.0,1e-06,1e-06,True,2.896506068328364e-07,0.0007611184517527698,1.5211738529073181e-06,2.7704315461777393e-06,-0.5651461565126498,-1790.7559379864374,3168.515402216811,0.09999999998604873,1.1634203156418721e-08,150068.19456311045,2.7697131255602306e-06,-0.5651783688597279,-1790.6683802008822,3168.3623244574715,0.09999999998426368,1.4696599492936002e-09,150068.2173840263,1.534753617277378e-06,-0.9749132620647936,-1975.5145796224733,2025.9810533276843,0.09999999995733393,1.837067165055828e-10,150129.2529448908,7.752449862019617e-05
168,4.040986000000001,29,2.4686385471778207e-06,-0.9281445128704816,-2913.6474086477415,1495734263.1395442,0.9749244752753253,0.0,1e-06,1e-06,True,2.9605490792228295e-07,0.0007694867793225463,1.5234794499681443e-06,2.468759894679689e-06,-0.9281446194582977,-2912.7857294949163,3138.051845259079,0.10000000001609226,2.9178752303238298e-08,145114.87532231526,2.467491029441957e-06,-0.9284657498431248,-2912.9420996495396,3137.437312879077,0.10000000001647436,4.1953533008731725e-09,145114.9326030003,1.1108327917753234e-06,-2.0358636762683284,-4079.9477871062577,2003.2700661997717,0.09999999999995939,3.585061469912887e-09,145212.9250167699,4.915563763141506e-05
169,4.068550875000001,29,2.2052730639204988e-06,-1.3009466346788388,-4044.6943683187787,1462891609.4997735,0.9739249084606993,-4.7433559302589856e-07,1e-06,1e-06,True,3.006481914535897e-07,0.000775433087700917,1.5243081115977669e-06,2.20541790780459e-06,-1.3009481140897738,-4041.634265775772,3106.352544542257,0.0999999999987404,7.38290371060657e-08,142698.10416532095,2.2031183448501684e-06,-1.3021581460732217,-4043.0947258053156,3105.0162158727526,0.0999999999986401,2.9467481010847507e-08,142698.23399280914,8.016300633980302e-07,-3.356592268665528,-6654.411693565149,1981.2250250330756,0.10000000000023508,2.7453654571907293e-08,142838.49703888863,6.568070252210845e-05
170,4.0962875,29,2.123607751668168e-06,-1.450012550011946,-4453.992095390184,1430914087.563891,0.9730410502518133,0.0,1e-06,1e-06,True,3.0438285869571757e-07,0.0007802344583418727,1.5285362570131777e-06,2.1236940499862534e-06,-1.4500127086904562,-4451.627783528773,3069.691643942923,0.09999999998902724,4.2293507362956007e-08,137984.79656316503,2.1224374649883042e-06,-1.4503636856176136,-4451.254239246758,3069.1692997530645,0.09999999998880663,1.470829802396878e-08,137984.8490934181,9.385168649266016e-07,-2.7439841781536805,-5380.132099413203,1959.667422677751,0.10000000002287776,1.255670306621326e-08,138076.91128334607,4.063759798267341e-05
171,4.124195875,30,2.041347209099655e-06,-1.6244949417921966,-4981.900080865283,1407097410.0142012,0.9769840868852253,-1.723010200294084e-06,1e-06,1e-06,True,3.2565820595742423e-07,0.0008070418315243176,1.5573547006500964e-06,2.0414544655075923e-06,-1.6244925866436002,-4979.514151208043,3064.8604253919398,0.10000000001236253,4.642400686094561e-08,133424.1952641848,2.040346831395215e-06,-1.6247540679196182,-4978.911649873929,3064.5311124388486,0.10000000001145419,1.7551566762474824e-08,133424.23961790302,9.265813190107321e-07,-2.837316267935123,-5528.763994052498,1947.5171521763293,0.09999999999920417,1.4933664804761548e-08,133511.8353970004,5.254197201698396e-05
172,4.152276,30,1.9710505928916466e-06,-1.7815691009597259,-5413.743786850623,1376631084.1294577,0.9757863279623921,-7.787486993038328e-07,1e-06,1e-06,True,3.3424912881940827e-07,0.000817617495596326,1.560387642952889e-06,1.971127628364227e-06,-1.7815691909018756,-5411.820496586536,3037.218713820606,0.1000000000000593,5.738766128970951e-08,129010.15574573916,1.9699603285363983e-06,-1.7819071046172148,-5411.263109102864,3036.923838221072,0.10000000000000601,2.683838828954066e-08,129010.16868599143,8.722750986503941e-07,-3.131132248761917,-6033.482991402809,1925.7514025562198,0.09999999999996285,2.2716815012424618e-08,129080.69638968888,3.90834577550514e-05
173,4.180527874999999,30,1.9935314435126856e-06,-1.7778013332014226,-5340.247122129553,1347357642.5664356,0.9750087709981836,0.0,1e-06,1e-06,True,3.369527377117265e-07,0.0008209175286764476,1.5616960062299776e-06,1.9936413224082703e-06,-1.7778013737354619,-5339.992343912156,3003.2545351214267,0.10000000000000042,4.9033439974977e-08,126857.98431229444,1.9926491443263806e-06,-1.7780126699551189,-5339.46929009499,3003.2007567317555,0.10000000000002063,2.0351823781794565e-08,126857.98912162661,9.271520419199367e-07,-2.9220930093268014,-5570.82825157825,1905.3487733898944,0.09999999999995254,1.781019776103676e-08,126909.50744421032,5.5117713815056035e-05
174,4.2089515,30,2.140306812195275e-06,-1.585113663757028,-4712.637837726233,1317830711.90454,0.9740135517842703,0.0,1e-06,1e-06,True,3.439813043293327e-07,0.0008294351856718429,1.5638057280918861e-06,2.1403976112377624e-06,-1.5851135179538418,-4713.592285092538,2973.260159291239,0.10000000003032679,2.2474325511723237e-08,122657.95634969248,2.139884628666415e-06,-1.5851592879619316,-4713.876582499974,2973.890709463142,0.10000000002960785,3.6243583134698554e-09,122657.94699208184,1.2170199283070611e-06,-1.9472158233645196,-3671.2670543020477,1884.6589931196927,0.1000000000000562,3.5939231590731424e-09,122660.8088346934,4.242337685878006e-05
175,4.237546875,31,2.4322658468295294e-06,-1.2337826864981507,-3662.780383383965,1295781605.3229783,0.9777376556981369,0.0,1e-06,1e-06,True,3.685828962041171e-07,0.0008585836757704705,1.5897352181138629e-06,2.432415927022906e-06,-1.2337630496560694,-3663.527424402412,2969.0811953996495,0.0999999999996138,8.026625586410319e-09,118594.43970224526,2.432293496413259e-06,-1.2339454380487216,-3665.2200980131984,2970.432675437074,0.09999999999956947,1.0187497512248456e-09,118594.44806545462,1.8791910182531915e-06,-0.6438415030581556,-1205.9951269733624,1872.8808159072187,0.09999999999838056,4.4548476019201644e-11,118551.31115065444,6.170386085568857e-05
176,4.266314,30,2.7431652492848986e-06,-0.8957026112717604,-2604.325154600656,1261544673.2041957,0.9720114806593586,0.0,1e-06,1e-06,True,3.5344335658216153e-07,0.0008407656261857021,1.56433046772416e-06,2.7433254250398866e-06,-0.895707903018586,-2605.451621816908,2908.5914217887675,0.10000000000302352,1.3651261898672828e-08,116612.47381796614,2.742861983083356e-06,-0.8957162779301526,-2605.658089178416,2909.1021664112254,0.100000000003256,1.728462262207131e-09,116612.46690122766,1.6645898924544657e-06,-1.0246601702730187,-1889.758299217314,1843.8924348173266,0.09999999999998284,2.9176538962616405e-10,116597.51882575196,5.839085160097568e-05
177,4.295252875,31,3.320011398401311e-06,-0.3731523933770409,-1163.018097360484,1240185874.1478965,0.9758765983611306,-6.507139005407225e-08,1e-06,1e-06,True,3.7652729623083303e-07,0.0008677872633014202,1.5876103548470936e-06,3.3203289993118835e-06,-0.400865695413318,-1163.5215268425177,2902.4206819129054,0.09999999997350953,1.2438855723218012e-08,112745.53117504694,3.319885681896369e-06,-0.4007143693042575,-1163.0996819092575,2902.601266667712,0.09999999997433015,1.5746883796907696e-09,112745.52202078058,1.987228680749228e-06,-0.5490896343478358,-1006.2339847675665,1832.342283169225,0.09999999999993389,2.5014545990131865e-11,112737.10277831352,9.56625964372293e-05
