mass_MeV,scope_key,dataset_set,n_active,dimuon_factor,signal_yield_per_eps2_fitted_window,inherited_2016_exception,profiled_r,profiled_eps2_ee_raw,profiled_eps2_display,fixed_r,fixed_eps2_ee_raw,fixed_eps2_display,v12_eps2_ee_raw,v12_eps2_display,v12_p0,v12_limit_relative_difference,v12_bounded_root_difference,profiled_Ahat_window,profiled_A90_window,fixed_Ahat_window,fixed_A90_window
48,pair_2015_2016,2015+2016,2,1.0,2322869732.9793625,True,0.3964924981959722,5.917281690769577e-06,5.917281690769577e-06,1.928109752428526,4.381543150467395e-06,4.381543150467395e-06,5.915121928353475e-06,5.915121928353475e-06,0.3469059457369755,0.0003651255954251198,0.002805161098537623,2857.3091933921805,13745.074541001599,6083.58479186253,10177.753967963752
49,pair_2015_2016,2015+2016,2,1.0,2391350792.42185,True,0.6996023208623032,6.5149114777238465e-06,6.5149114777238465e-06,3.3713811424903186,6.269451671980468e-06,6.269451671980468e-06,6.509656571732958e-06,6.509656571732958e-06,0.2416147885502657,0.0008072478068517075,-0.0015153599651931415,5108.710035886176,15579.438724813128,10860.913470876598,14992.458223840986
50,all_2015_2016_2021,2015+2016+2021,3,1.0,3091329596.2763224,True,1.4678193101410568,7.733657656526771e-06,7.733657656526771e-06,7.619784775846543,1.0534881814518174e-05,1.0534881814518174e-05,7.742945664604561e-06,7.742945664604561e-06,0.0706215424417923,-0.0011995445247986458,-0.0033583211004617475,12573.411554249567,23907.284801090194,27874.263295455607,32566.79194649324
51,all_2015_2016_2021,2015+2016+2021,3,1.0,3255135396.4088554,True,1.221408819224686,6.912266370692585e-06,6.912266370692585e-06,6.361422229595909,8.820498600585666e-06,8.820498600585666e-06,6.907612505263728e-06,6.907612505263728e-06,0.1118988428955194,0.0006737299501544669,0.0049171582849718565,10698.043767471967,22500.362932648008,23894.435265952114,28711.91720874118
52,all_2015_2016_2021,2015+2016+2021,3,1.0,3451820558.0974436,True,0.8936985675655945,6.0368561143525855e-06,6.0368561143525855e-06,2.3201668035023424,4.057612134121441e-06,4.057612134121441e-06,6.028277771146405e-06,6.028277771146405e-06,0.1857208171919668,0.0014230172417137865,-7.76534251328842e-05,8135.058858013329,20838.144041798507,9006.800321860288,14006.14898134603
53,all_2015_2016_2021,2015+2016+2021,3,1.0,3622981647.388318,True,0.42346323539628866,4.829594842471373e-06,4.829594842471373e-06,-0.7134666217312273,1.390274381206163e-06,1.390274381206163e-06,4.820846660911696e-06,4.820846660911696e-06,0.3338639147995363,0.0018146566723660218,-0.005805275923952635,3845.797462999031,17497.533478595058,-2833.916212302581,5036.938567944078
54,all_2015_2016_2021,2015+2016+2021,3,1.0,3804010439.6917405,True,0.13947878535693375,4.165250183232631e-06,4.165250183232631e-06,0.9745501880443995,2.5177318164202146e-06,2.5177318164202146e-06,4.1450885193592825e-06,4.1450885193592825e-06,0.4441320102137384,0.004863988737317637,-0.0010223943977258343,1275.39225637606,15844.655180944861,3960.510409092528,9577.478114006544
55,all_2015_2016_2021,2015+2016+2021,3,1.0,4020184429.6462936,True,-0.5683086290002352,3.1108839291387874e-06,3.1108839291387874e-06,-2.0976684262948484,8.476984596751339e-07,8.476984596751339e-07,3.034958647452665e-06,3.034958647452665e-06,0.5,0.025016908138056015,0.0,-5323.056970799993,12506.327134360638,-8778.504804636681,3407.90414862112
56,all_2015_2016_2021,2015+2016+2021,3,1.0,4191300827.4555883,True,-0.3651531244495694,3.2486195358214106e-06,3.2486195358214106e-06,0.6063314483162544,2.0931680715501102e-06,2.0931680715501102e-06,3.226051522730868e-06,3.226051522730868e-06,0.5,0.00699555259162099,0.0,-3459.4937318818443,13615.941748576668,2579.8606144754576,8773.097070291595
57,all_2015_2016_2021,2015+2016+2021,3,1.0,4395539463.13794,True,-0.7604204827546351,2.7113144961922204e-06,2.7113144961922204e-06,-1.5183881699399027,9.58799799481178e-07,9.58799799481178e-07,2.7045464283974757e-06,2.7045464283974757e-06,0.5,0.002502477947385451,0.0,-7266.687758421026,11917.689864990867,-6607.001494916125,4214.442355868262
58,all_2015_2016_2021,2015+2016+2021,3,1.0,4599555119.662375,True,-1.0793006382795192,2.3566900536989636e-06,2.3566900536989636e-06,-6.065906450976817,3.480078506371858e-07,3.480078506371858e-07,2.351173278744785e-06,2.351173278744785e-06,0.5,0.0023463923327351477,0.0,-10469.439345668432,10839.725801948467,-26967.41977524177,1600.6812910809672
59,all_2015_2016_2021,2015+2016+2021,3,1.0,4785414123.674105,True,-1.2825878749977144,2.1392044165146493e-06,2.1392044165146493e-06,-6.705061927967865,3.1027199911462456e-07,3.1027199911462456e-07,2.1316282311782747e-06,2.1316282311782747e-06,0.4998622584051908,0.0035541776120064927,-0.0003452669830012,-12569.654473998637,10236.979028215224,-30288.0142667667,1484.7800067437236
60,all_2015_2016_2021,2015+2016+2021,3,1.0,4969725298.245915,True,-1.3918691954880849,2.0134924121534352e-06,2.0134924121534352e-06,-4.3872131431975685,4.404331321922304e-07,4.404331321922304e-07,2.011726660298597e-06,2.011726660298597e-06,0.5,0.0008777295095228066,0.0,-13814.320655162539,10006.504178505118,-20116.563060387372,2188.831679241415
61,all_2015_2016_2021,2015+2016+2021,3,1.0,5182569609.586184,True,-1.2259822364173314,2.0717825576881304e-06,2.0717825576881304e-06,-2.7211707957733395,6.21475674587551e-07,6.21475674587551e-07,2.06768804084532e-06,2.06768804084532e-06,0.5,0.0019802391666086105,0.0,-12370.350258725612,10737.157321145238,-12727.114494861606,3220.8409442145144
62,all_2015_2016_2021,2015+2016+2021,3,1.0,5336349364.479054,True,-0.42675865067743957,2.606719792436287e-06,2.606719792436287e-06,0.8959139406042802,2.0249431243657412e-06,2.0249431243657412e-06,2.5999139101415995e-06,2.5999139101415995e-06,0.5,0.002617733713466297,0.0,-4224.478703500966,13910.367507742352,4225.042608111289,10805.803954815354
63,all_2015_2016_2021,2015+2016+2021,3,1.0,5499414464.130568,True,0.16894308026931854,3.161795876389713e-06,3.161795876389713e-06,0.9223179685537156,2.00429979933358e-06,2.00429979933358e-06,3.157580846576684e-06,3.157580846576684e-06,0.4327047016002195,0.0013348921271798542,-0.0005492518356914611,1676.763783548914,17388.02597524597,4394.942198968735,11022.475306909084
64,all_2015_2016_2021,2015+2016+2021,3,1.0,5671239771.739265,True,1.6457703874752494,5.121164710876621e-06,5.121164710876621e-06,5.324098258106405,5.61728040907525e-06,5.61728040907525e-06,5.109031108563609e-06,5.109031108563609e-06,0.0491167958864395,0.0023749321652541955,-0.007707750872745445,16168.315411210322,29043.352985951107,25673.819721338394,31856.94406495937
65,all_2015_2016_2021,2015+2016+2021,3,1.0,5817592266.071133,True,2.5628618256353413,6.465175105890287e-06,6.465175105890287e-06,7.4199918577086414,7.273838374246626e-06,7.273838374246626e-06,6.471517366791821e-06,6.471517366791821e-06,0.0052224867521403,-0.0009800268688267,0.002122634264511092,25053.81529792408,37611.75269482295,36080.31538092477,42316.22587066859
66,all_2015_2016_2021,2015+2016+2021,3,1.0,5982150920.494942,True,2.7601586408223695,6.665269819533934e-06,6.665269819533934e-06,7.25096518697252,7.016043378383136e-06,7.016043378383136e-06,6.635650984800362e-06,6.635650984800362e-06,0.002844895053562,0.004463591409707535,-0.004984048868837299,27218.03128897209,39872.64998627208,35663.57895578954,41971.030354227114
67,all_2015_2016_2021,2015+2016+2021,3,1.0,6091575891.545483,True,2.054371869573021,5.385359037501027e-06,5.385359037501027e-06,3.3071362971907723,3.719114694068895e-06,3.719114694068895e-06,5.386693215302956e-06,5.386693215302956e-06,0.01979720387392,-0.00024768030192223733,-0.003583605063899764,20132.961668088326,32805.32328015784,16325.414396466338,22655.269408282635
68,all_2015_2016_2021,2015+2016+2021,3,1.0,6234799890.534204,True,1.0108553422609914,3.7655117596559065e-06,3.7655117596559065e-06,2.4027162722679662,2.9484135326103664e-06,2.9484135326103664e-06,3.7484556326456616e-06,3.7484556326456616e-06,0.1546843414163939,0.004550174440295152,-0.005692278035792642,9942.310741923075,23477.212306907903,11972.121294210603,18382.768370368678
69,all_2015_2016_2021,2015+2016+2021,3,1.0,6335427023.98104,True,-0.552938489756725,2.0516708461035406e-06,2.0516708461035406e-06,-1.2485436845519375,8.337727145621195e-07,8.337727145621195e-07,2.0508788261056015e-06,2.0508788261056015e-06,0.5,0.00038618566238901586,0.0,-5353.129513519508,12998.210922718416,-6243.517283922069,5282.306187694882
70,all_2015_2016_2021,2015+2016+2021,3,1.0,6403518235.045417,True,-1.7563198625565672,1.3418196620481892e-06,1.3418196620481892e-06,-3.0963382913120365,4.902751184852141e-07,4.902751184852141e-07,1.34400194810712e-06,1.34400194810712e-06,0.5,-0.0016237223926679478,0.0,-16768.961380956505,8592.366674068058,-15478.195746185906,3139.4856614091204
71,all_2015_2016_2021,2015+2016+2021,3,1.0,6517540074.227236,True,-2.9060527262286913,9.59920350026718e-07,9.59920350026718e-07,-6.96238065903674,2.452061622426071e-07,2.452061622426071e-07,9.587545144076227e-07,9.587545144076227e-07,0.5,0.0012159897049512924,0.0,-27653.19252802326,6256.31934936537,-35046.393684031216,1598.140988863657
72,all_2015_2016_2021,2015+2016+2021,3,1.0,6544754116.262615,True,-3.49033909388161,8.018627086689273e-07,8.018627086689273e-07,-8.12477256464014,2.1037969047414395e-07,2.1037969047414395e-07,8.004291009961892e-07,8.004291009961892e-07,0.5,0.0017910489148305064,0.0,-31926.866717365105,5247.994263238452,-40687.009795860606,1376.8833452087085
73,all_2015_2016_2021,2015+2016+2021,3,1.0,6655024567.200608,True,-3.004738294039544,8.939063556365812e-07,8.939063556365812e-07,-6.534956051619296,2.550302743038529e-07,2.550302743038529e-07,8.932245805487365e-07,8.932245805487365e-07,0.5,0.0007632739880778505,0.0,-27848.80118775689,5948.968757538211,-32961.05002786845,1697.2327408720512
74,all_2015_2016_2021,2015+2016+2021,3,1.0,6701724478.684476,True,-1.452419347117753,1.3904648261871534e-06,1.3904648261871534e-06,-2.2603489255577536,5.848643343345034e-07,5.848643343345034e-07,1.3894398453086273e-06,1.3894398453086273e-06,0.5,0.0007376935978817833,0.0,-13686.922674884381,9318.5121624082,-11387.410954209097,3919.5996261190426
75,all_2015_2016_2021,2015+2016+2021,3,1.0,6747591537.715178,True,-0.665900785269954,1.7888044063153131e-06,1.7888044063153131e-06,-1.9130697031191561,6.411204191150026e-07,6.411204191150026e-07,1.7936324476854336e-06,1.7936324476854336e-06,0.5,-0.0026917674110716883,0.0,-6233.11856405829,12070.12147468083,-9634.920834171717,4326.018714676799
76,all_2015_2016_2021,2015+2016+2021,3,1.0,6778844893.749339,True,0.16556864654922737,2.3856676009834998e-06,2.3856676009834998e-06,0.17547783790646654,1.3023451897889148e-06,1.3023451897889148e-06,2.3843112385204307e-06,2.3843112385204307e-06,0.4341895495474167,0.0005688697184982328,-0.0001490750230384308,1530.207994320888,16172.070635110234,881.9659554798413,8828.396039699599
77,all_2015_2016_2021,2015+2016+2021,3,1.0,6831718167.737233,True,0.8832856323477757,3.0462801774418322e-06,3.0462801774418322e-06,3.516769647984688,3.535936016908802e-06,3.535936016908802e-06,3.04474704411804e-06,3.04474704411804e-06,0.1881234839691591,0.0005035338901975273,-0.001546886271518999,8059.980647635483,20811.32763224717,17702.509170168087,24156.518326672292
78,all_2015_2016_2021,2015+2016+2021,3,1.0,6817746249.944392,True,1.5294371511854001,3.7304257877626256e-06,3.7304257877626256e-06,2.8694585831292048,3.045201074656269e-06,3.045201074656269e-06,3.730359567878903e-06,3.730359567878903e-06,0.0630995221926668,1.7751608797356155e-05,0.0001732885323535438,13658.810922986,25433.096425214495,14346.203638604102,20761.40820706441
79,all_2015_2016_2021,2015+2016+2021,3,1.0,6819113426.096878,True,1.8651951116169123,4.142274505675511e-06,4.142274505675511e-06,2.0841817455705693,2.465598365559746e-06,2.465598365559746e-06,4.141859912728571e-06,4.141859912728571e-06,0.0311304781958761,0.00010009825432910624,0.0007623547979094258,16647.609234300733,28246.639696230683,10377.388768532219,16813.194917950983
