mass_MeV,lane,r,Ahat,sigma_A,nll,null_nll,max_score,min_lambda
73,background,-0.3150830723556692,-2177.2996297877758,6910.173083672758,0.04935561438015881,0.09899428562270274,3.2313901554559266e-11,1075727.0638339738
73,inject_66,-1.7441043656348412,-12057.810248725735,6913.0983943304245,1.3336246590083656,2.8545746781216215,2.570762935860671e-08,1076800.0485085682
73,inject_78,-1.989276314065426,-13755.301611820614,6914.304558887506,1.031757401701023,3.0103675285518863,1.2859511566709614e-08,1075696.2059654372
73,double_65_78,-2.8476876487832414,-19696.817958869004,6916.172282396828,4.047337957986985,8.102000430503297,1.155028883648157e-07,1076642.7976538043
74,observed,-0.2158578880688802,-1491.3532303313027,6908.912481201995,13.626105206225205,13.649402520145983,2.2759164775010277e-08,1094111.7602096142
74,background,-0.11079843201846812,-766.9903137371323,6922.369502609378,0.022975712315741574,0.029113858584617125,3.688993555073239e-13,1101018.7747838746
74,inject_66,-0.9860923710546985,-6828.050872193855,6924.14124069375,1.378116274418353,1.8643053565444916,4.17824019827151e-09,1101921.5688694308
74,inject_78,-1.001124521680888,-6933.775203906636,6925.7725608042065,2.5412192577464885,3.042344411701882,9.281317381315546e-11,1101144.0105496817
74,double_65_78,-1.2331429585057525,-8541.147649659933,6926.060135685705,5.286116387338641,6.046437165394801,1.4134640125007536e-09,1101874.6043822514
75,observed,0.9310849289218097,6409.062795982054,6883.635215592831,12.325134538065731,12.758594110498397,2.1407737360590318e-08,1104704.3071319312
75,background,0.010983596818405314,75.71299315610895,6893.280982283147,0.016549691549535166,0.016610011249069807,6.131900542882818e-13,1111638.683973462
75,inject_66,-0.2990954090625256,-2061.9729681394083,6893.966558688463,1.2488223744387197,1.2935514062998594,4.2584447079718757e-10,1112438.9165785261
75,inject_78,0.2168351286094437,1495.430140913111,6896.669619433462,3.2861951123360655,3.3097038488356025,3.604044840344045e-11,1111818.2867357058
75,double_65_78,0.47225269215843135,3256.5824569348792,6895.948794169781,5.685795178799513,5.797306481424956,4.376987661203202e-11,1112380.022125503
