test_mass_MeV,lane,bin_mass_MeV,gp_mean,generating_counts,injected_counts
71,double_65_78,74.4375,1157428.729897473,1154845.2823635987,618.2165157776393
71,double_65_78,75.0625,1159578.6068659432,1157500.5238251882,916.592862740446
71,double_65_78,75.6875,1160963.5182229804,1159453.7776563,1259.9686212525676
72,background,67.5625,1061198.6144029961,1060935.5054966712,0.0
72,background,68.1875,1075999.4919768136,1075679.4331764828,0.0
72,background,68.8125,1089374.5366315434,1089004.286253602,0.0
72,background,69.4375,1101365.0396474511,1100953.2225929506,0.0
72,background,70.0625,1112021.5805724815,1111578.208842309,0.0
72,background,70.6875,1121402.0867426773,1120938.0513188702,0.0
72,background,71.3125,1129569.9082203472,1129096.469989776,0.0
72,background,71.9375,1136591.97624903,1136120.2823851246,0.0
72,background,72.5625,1142537.1003012597,1142077.7473201596,0.0
72,background,73.1875,1147474.4433569312,1147037.1028539662,0.0
72,background,73.8125,1151472.2020869774,1151065.3167585265,0.0
72,background,74.4375,1154596.5052441861,1154227.065847821,0.0
72,background,75.0625,1156910.5329443188,1156583.9309624478,0.0
72,background,75.6875,1158473.8506291646,1158193.8090350474,0.0
72,background,76.31249999999999,1159341.9442447387,1159110.5185074073,0.0
72,inject_66,67.5625,1062985.8785599223,1062465.762546847,1530.257050175891
72,inject_66,68.1875,1077808.1083965725,1076863.9776369159,1184.5444604329896
72,inject_66,68.8125,1091178.2979238953,1089846.1977200024,841.9114664004719
72,inject_66,69.4375,1103138.7594664337,1101502.6480616038,549.4254686532342
72,inject_66,70.0625,1113741.814111336,1111907.4222307475,329.21338843865215
72,inject_66,70.6875,1123047.730968646,1121119.1733905901,181.12207171992043
72,inject_66,71.3125,1131122.6690002503,1129187.9632532413,91.49326346526824
72,inject_66,71.9375,1138036.6974213144,1136162.7178732874,42.43548816270555
72,inject_66,72.5625,1143861.9565573924,1142095.81864303,18.071322870505668
72,inject_66,73.1875,1148671.0049418048,1147044.1687866703,7.065932704209954
72,inject_66,73.8125,1152535.3835927523,1151067.8534394717,2.5366809451427343
72,inject_66,74.4375,1155524.4140224506,1154227.9019836418,0.8361358207042725
72,inject_66,75.0625,1157704.2343213672,1156584.18400883,0.2530463822158021
72,inject_66,75.6875,1159137.0680464702,1158193.879347671,0.0703126236769279
72,inject_66,76.31249999999999,1159880.7123353516,1159110.5364453965,0.017937989156728
72,inject_78,67.5625,1061842.9150456283,1060935.5600762062,0.0545795349589815
72,inject_78,68.1875,1076800.921977507,1075679.6194462613,0.1862697784693683
72,inject_78,68.8125,1090334.252510417,1089004.8755553747,0.5893017727551104
72,inject_78,69.4375,1102480.0235620278,1100954.95088663,1.7282936793457366
72,inject_78,70.0625,1113284.7845798745,1111582.9076032902,4.698760981130004
