mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z,eligible,nominal_local_p,conditional_local_gaussian,ungated_signed_gaussian,direct_local_k,direct_local_n,direct_local_p,direct_local_low95,direct_local_high95,direct_local_upper95,direct_global_k,direct_global_n,direct_global_p,direct_global_low95,direct_global_high95,direct_global_upper95,gp_global_k,gp_global_n,gp_global_p,gp_global_low95,gp_global_high95,gp_global_upper95,gp_raw_global_k,gp_raw_global_n,gp_raw_global_p,gp_raw_global_low95,gp_raw_global_high95,gp_raw_global_upper95,direct_raw_global_k,direct_raw_global_n,direct_raw_global_p,direct_raw_global_low95,direct_raw_global_high95,direct_raw_global_upper95
117,2016+2021,0.3512615178014734,-0.683967020753656,0.9855406994737822,1.0504168311951778,True,0.36269608106139406,0.14676325529750928,0.14676325529750928,142,1000,0.142,0.12094489570974315,0.16518703835359716,0.16143847810309092,1000,1000,1.0,0.9963179161031344,1.0,1.0,199989,200000,0.999945,0.9999015919434324,0.9999725438886725,0.9999691546681291,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
118,2016+2021,0.6967374636681949,-0.2906347480581321,0.9855320954065335,1.0018671297752455,True,0.24298355438760066,0.15820388496270027,0.15820388496270027,154,1000,0.154,0.13217302837265316,0.1778854805278756,0.17402851182601653,1000,1000,1.0,0.9963179161031344,1.0,1.0,199996,200000,0.99998,0.9999487928556655,0.9999945506471093,0.9999931683801144,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
119,2016+2021,1.1931798963727651,-0.37642340008709146,0.986336347469179,1.5913469076621487,True,0.11639946312460847,0.05576576283840226,0.05576576283840226,65,1000,0.065,0.05052030968961793,0.08210106992137105,0.07930468011920057,970,1000,0.97,0.9574485975299709,0.9796695143168904,0.9783252157068546,195221,200000,0.976105,0.9754262373141391,0.9767699146781319,0.9766641082307388,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
120,2016+2021,1.408527727773457,-0.126446992105931,0.9863710339936091,1.556183897315595,True,0.07948743121349472,0.05983218466568295,0.05983218466568295,68,1000,0.068,0.053188099760401945,0.08541305019143099,0.0825676043316935,975,1000,0.975,0.963315176948077,0.9837574643031177,0.98255984443298,196262,200000,0.98131,0.9807069476962568,0.9818990441234621,0.9818054426284716,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
121,2016+2021,1.6733606225048914,0.05310925034484542,0.9862393732488031,1.64285812968785,True,0.04712816241784619,0.050206144881142056,0.050206144881142056,55,1000,0.055,0.04169879507953599,0.07099151554205753,0.06836974864905242,966,1000,0.966,0.9528105613842925,0.9763413518924032,0.9748887896031677,193245,200000,0.966225,0.9654239956619612,0.9670124540021953,0.9668869328574963,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
122,2016+2021,1.6251944081799263,0.2187423424464049,0.9863143977371256,1.4259672868613764,True,0.05206057077578967,0.07693889251430779,0.07693889251430779,76,1000,0.076,0.060343661179901815,0.09420432364490218,0.09123455217626249,990,1000,0.99,0.9816867569448875,0.9951944893089507,0.9945648598552932,198729,200000,0.993645,0.993286984672584,0.9939885922571642,0.9939344674248363,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
123,2016+2021,1.5954728950332142,0.4009280311208628,0.9858170770219172,1.2117307477782653,True,0.055303263265099434,0.11280773253283072,0.11280773253283072,118,1000,0.118,0.0986525163948968,0.1396277205344403,0.13612197013727212,998,1000,0.998,0.9927941610885425,0.9997576988831227,0.9996445238665224,199876,200000,0.99938,0.9992608225000209,0.9994842904646738,0.9994686299637295,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
124,2016+2021,1.3746713190933284,0.5752350600704839,0.9855299806899122,0.8111739619156038,True,0.08461668343708784,0.20863288815683012,0.20863288815683012,231,1000,0.231,0.20520047479036319,0.2583934768882578,0.2539967887179934,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
125,2016+2021,1.1896355053996748,0.6966055956114171,0.985583865310982,0.5002414580241648,True,0.11709484221930538,0.30845253485995505,0.30845253485995505,335,1000,0.335,0.30576835989020584,0.36520680815029155,0.360389510424971,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
126,2016+2021,1.0932059215214684,0.8260816246982584,0.985324683609339,0.2711028164287005,True,0.13715169885838246,0.39315597773609345,0.39315597773609345,405,1000,0.405,0.37439275436596126,0.4361682363380342,0.4312172447705172,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
127,2016+2021,0.756938463372354,0.7477763499631963,0.9851034674745609,0.009300661008377108,True,0.22454336515562684,0.4962896265807906,0.4962896265807906,493,1000,0.493,0.46157286275404324,0.5244684577338624,0.5194950289505267,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
128,2016+2021,0.635261371775202,0.6340180896321816,0.9852387027438742,0.0012619095652229907,True,0.26262898122303047,0.4994965710540009,0.4994965710540009,505,1000,0.505,0.4735359613150015,0.5364345240798916,0.5314700394910371,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
129,2016+2021,0.6848471690283394,0.6264580537601836,0.9858624992349102,0.05922642895278942,True,0.24672018337893048,0.47638587966327584,0.47638587966327584,472,1000,0.472,0.440680324701983,0.5034849622552621,0.49850275569579894,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
130,2016+2021,0.4861971715953859,0.6047256167883429,0.9861198679960992,-0.1201967925398557,True,0.31341368826277727,0.5478363707306063,0.5478363707306063,533,1000,0.533,0.5015191705326784,0.5642860245263008,0.5593535234406923,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
131,2016+2021,0.0856824263237227,0.35868431616603386,0.9862779630732934,-0.2768001517458862,True,0.46585943625424137,0.609033217677605,0.609033217677605,586,1000,0.586,0.5547559494412744,0.6167362420656495,0.611907357865075,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
132,2016+2021,-0.2292724075218078,0.2238376319671271,0.9863174295179489,-0.4593957542759709,False,0.5,1.0,0.6770250016981474,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
133,2016+2021,-0.4392293401981005,0.16575524820402998,0.9871081309140666,-0.6128858323169845,False,0.5,1.0,0.7300240841120705,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
134,2016+2021,-0.7250113118546927,0.04677230403027194,0.9872568142539234,-0.781745544565531,False,0.5,1.0,0.7828179351346916,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
135,2016+2021,-1.0838490045998388,-0.10319656418184261,0.987026912558829,-0.9935417443438221,False,0.5,1.0,0.8397769911169375,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
