mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,injected_signal_counts,background_m66,background_m71,background_m72
132.5625,467038.0,466591.03782506136,17899.038272560098,0.0,466625.77723079367,466584.0560580256,466580.85975482414
133.1875,458900.0,459365.2292481094,17550.558391892373,0.0,459400.83943148784,459357.2946013784,459355.05537189177
133.8125,452123.0,452227.5247593699,17207.04830166325,0.0,452263.45552019513,452218.7829202087,452217.49065558234
134.4375,444040.0,445178.19056310394,16867.678195201428,0.0,445213.91696193523,445168.7937209897,445168.42558754905
135.0625,438239.0,438217.41459574417,16531.80980357956,0.0,438252.44306898053,438207.5187307854,438208.0403761265
135.6875,431821.0,431345.30916106707,16199.069960811476,0.0,431379.1830300898,431335.0715705907,431336.4380587473
136.3125,424090.0,424561.9138892984,15869.257151465416,0.0,424594.21711856575,424551.49041006423,424553.6478709347
136.9375,417340.0,417867.19771493354,15542.42392452737,0.0,417897.5588705578,417856.7409932872,417859.6274929279
137.5625,411810.0,411261.0625355784,15218.745538847375,0.0,411289.15659648034,411250.7192474901,411254.26657443005
138.1875,404037.0,404743.34525430296,14898.563379322226,0.0,404768.8957333243,404733.25504448387,404737.38964946015
138.8125,398860.0,398313.8216999603,14582.325329180292,0.0,398336.60127235367,398304.114651343,398308.7591704282
139.4375,392253.0,391972.2083578028,14270.562322782833,0.0,391992.0390395443,391963.0042167351,391968.07854885585
140.0625,385111.0,385718.16637277714,13963.804857791463,0.0,385734.91880292544,385709.5734648623,385714.9960915934
140.6875,380419.0,379551.3044879551,13662.607852984967,0.0,379564.89644049824,379543.41801571875,379549.10702757526
141.3125,373023.0,373471.18105455267,13367.485399580537,0.0,373481.57637280045,373464.08332001365,373469.9575525096
141.9375,366969.0,367477.3082352862,13078.88951192898,0.0,367484.5135945198,367471.06735888444,367477.0477734868
142.5625,361298.0,361569.1539303154,12797.208361106039,0.0,361573.21673292184,361563.8243576935,361569.8341131992
143.1875,355965.0,355746.1453818449,12522.72823476084,0.0,355747.15046996804,355741.7673512699,355747.7331713435
143.8125,349675.0,350007.6713298225,12255.635140582779,0.0,350005.7379088859,350004.2712537831,350010.1240598117
144.4375,344341.0,344353.08522307663,11996.02211367412,0.0,344348.3628439004,344350.67588651815,344356.3514725618
145.0625,339250.0,338781.70791047905,11743.854437990352,0.0,338774.3729818815,338780.28892697365,338785.7283544734
145.6875,333962.0,333292.82969343686,11499.033994253708,0.0,333283.08160523506,333292.38864066504,333297.53832831804
146.3125,327325.0,327885.71351936075,11261.332099804988,0.0,327873.77091258473,327886.2260838794,327891.03867967933
146.9375,322815.0,322559.59688003745,11030.492582195806,0.0,322545.6936885121,322561.0280096788,322565.46240032814
147.5625,316581.0,317313.69432118733,10806.163578936035,0.0,317298.07620238804,317315.99928080384,317320.0206405242
148.1875,311343.0,312147.19982427853,10587.95144628043,0.0,312130.12006608886,312150.32502391207,312153.9048528861
148.8125,307987.0,307059.2885820243,10375.439237371314,0.0,307041.0052122454,307063.17295604356,307066.2890193309
149.4375,302477.0,302049.1193873104,10168.191462716528,0.0,302029.89132745535,302053.69509854197,302056.33164394775
150.0625,297371.0,297115.8363049936,9965.767702742913,0.0,297095.9205322865,297121.0301928224,297123.1773822507
150.6875,292156.0,292258.5706508402,9767.75371568888,0.0,292238.2191707879,292264.3053441394,292265.9591396698
151.3125,286796.0,287476.4426082896,9573.74393157832,0.0,287455.9000044361,287482.637598503,287483.7996837435
151.9375,282887.0,282768.5631745637,9383.390688817291,0.0,282748.06385997793,282775.13573336176,282775.81283297035
152.5625,278748.0,278134.03513671545,9196.3599893205,0.0,278113.8017394228,278140.90168859053,278141.10558347515
153.1875,273359.0,273571.9550913707,9012.388775051673,0.0,273552.19619398745,273579.0320850512,273578.7788957052
153.8125,268380.0,269081.41440327995,8831.26612352598,0.0,269062.32338375895,269088.6192976231,269087.9292974399
154.4375,264878.0,264661.5009867943,8652.816310571847,0.0,264643.2542522497,264668.75288193114,264667.6498896903
155.0625,259961.0,260311.29987256395,8476.937244091394,0.0,260294.05618812278,260318.52058229348,260317.03174844114
