model,source,mass_GeV,mass_MeV,z,sigmaA_diagonal_poisson,injected_amplitude,refit_absorption_fraction,z_times_abs_absorption,gap_projection_amplitude,gap_abs_shift_sigmaA,tangent_absorption_fraction,tangent_solver_absorption_spread,refit_best_basin_repeats,gap_best_basin_repeats,refit_optimizer_success,gap_optimizer_success,refit_constraints_feasible,gap_constraints_feasible,refit_failure,gap_failure
knot_spline,one_pct,0.08499999999999999,84.99999999999999,3.0,1152.0575745548747,3456.172723664624,0.15621583782731413,0.4686475134819424,1266.8689762322713,1.0996576943836829,0.1562108388564093,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.08499999999999999,84.99999999999999,5.0,1152.0575745548747,5760.287872774374,0.1562190751188393,0.7810953755941965,1266.8689762322713,1.0996576943836829,0.1562108388564093,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.08999999999999998,89.99999999999999,1.0,1141.5705139754236,1141.5705139754236,0.16359277071600606,0.16359277071600606,1598.373855697473,1.4001534168321061,0.16359114578552908,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.08999999999999998,89.99999999999999,3.0,1141.5705139754236,3424.711541926271,0.16359801618396094,0.4907940485518828,1598.373855697473,1.4001534168321061,0.16359114578552908,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.08999999999999998,89.99999999999999,5.0,1141.5705139754236,5707.852569877118,0.16360244876411437,0.8180122438205718,1598.373855697473,1.4001534168321061,0.16359114578552908,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.09499999999999997,94.99999999999997,1.0,1122.2878603093773,1122.2878603093773,0.17425999818561871,0.17425999818561871,1257.6332002041302,1.1205977046365294,0.17425745200567944,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.09499999999999997,94.99999999999997,3.0,1122.2878603093773,3366.863580928132,0.1742662072336927,0.5227986217010782,1257.6332002041302,1.1205977046365294,0.17425745200567944,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.09499999999999997,94.99999999999997,5.0,1122.2878603093773,5611.439301546887,0.17427209464606025,0.8713604732303013,1257.6332002041302,1.1205977046365294,0.17425745200567944,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.09999999999999998,99.99999999999997,1.0,1096.517166102022,1096.517166102022,0.18297143962920806,0.18297143962920806,561.6527978813882,0.5122152349679959,0.18296897150423339,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.09999999999999998,99.99999999999997,3.0,1096.517166102022,3289.5514983060657,0.18297951819152636,0.5489385545745791,561.6527978813882,0.5122152349679959,0.18296897150423339,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.09999999999999998,99.99999999999997,5.0,1096.517166102022,5482.58583051011,0.18298730244849157,0.9149365122424579,561.6527978813882,0.5122152349679959,0.18296897150423339,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.10499999999999998,104.99999999999999,1.0,1065.997427640151,1065.997427640151,0.1861439254713583,0.1861439254713583,-138.11274423656107,0.12956198641333289,0.18614134041161218,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.10499999999999998,104.99999999999999,3.0,1065.997427640151,3197.9922829204534,0.18615352344680727,0.5584605703404218,-138.11274423656107,0.12956198641333289,0.18614134041161218,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.10499999999999998,104.99999999999999,5.0,1065.997427640151,5329.987138200755,0.18616224099196116,0.9308112049598058,-138.11274423656107,0.12956198641333289,0.18614134041161218,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.10999999999999997,109.99999999999997,1.0,1032.0812902053922,1032.0812902053922,0.18267833009927767,0.18267833009927767,-852.1949024792787,0.8257052138884189,0.1826754546878975,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.10999999999999997,109.99999999999997,3.0,1032.0812902053922,3096.2438706161765,0.18268800100535368,0.5480640030160611,-852.1949024792787,0.8257052138884189,0.1826754546878975,0.0,3,3,True,True,True,True,,
knot_spline,one_pct,0.10999999999999997,109.99999999999997,5.0,1032.0812902053922,5160.406451026961,0.18269696107146025,0.9134848053573013,-852.1949024792787,0.8257052138884189,0.1826754546878975,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.11499999999999996,114.99999999999996,1.0,995.8422096439124,995.8422096439124,0.17408130469173022,0.17408130469173022,-1144.168952190661,1.1489460289093254,0.17407707454625518,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.11499999999999996,114.99999999999996,3.0,995.8422096439124,2987.526628931737,0.17408978051672622,0.5222693415501787,-1144.168952190661,1.1489460289093254,0.17407707454625518,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.11499999999999996,114.99999999999996,5.0,995.8422096439124,4979.211048219562,0.1740976185469252,0.870488092734626,-1144.168952190661,1.1489460289093254,0.17407707454625518,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.11999999999999997,119.99999999999997,1.0,958.1408570869809,958.1408570869809,0.16302640878240926,0.16302640878240926,-1057.8540252418159,1.1040694250926646,0.16302172772790482,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.11999999999999997,119.99999999999997,3.0,958.1408570869809,2874.4225712609427,0.1630322949128774,0.4890968847386322,-1057.8540252418159,1.1040694250926646,0.16302172772790482,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.11999999999999997,119.99999999999997,5.0,958.1408570869809,4790.704285434905,0.16304084961996038,0.8152042480998019,-1057.8540252418159,1.1040694250926646,0.16302172772790482,0.0,3,3,True,True,True,True,,
knot_spline,one_pct,0.12499999999999997,124.99999999999997,1.0,919.6690476586266,919.6690476586266,0.15219102122618822,0.15219102122618822,-716.5199673594575,0.7791063200220083,0.1521885230449194,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.12499999999999997,124.99999999999997,3.0,919.6690476586266,2759.00714297588,0.15219851369897008,0.45659554109691025,-716.5199673594575,0.7791063200220083,0.1521885230449194,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.12499999999999997,124.99999999999997,5.0,919.6690476586266,4598.345238293133,0.1522054540070359,0.7610272700351794,-716.5199673594575,0.7791063200220083,0.1521885230449194,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.12999999999999995,129.99999999999994,1.0,880.9808333031795,880.9808333031795,0.14372887460381625,0.14372887460381625,-238.66246784920375,0.2709054031906172,0.14372539538275317,0.0,3,3,True,True,True,True,,
knot_spline,one_pct,0.12999999999999995,129.99999999999994,3.0,880.9808333031795,2642.942499909538,0.1437342583096126,0.43120277492883774,-238.66246784920375,0.2709054031906172,0.14372539538275317,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.12999999999999995,129.99999999999994,5.0,880.9808333031795,4404.9041665158975,0.14374015313019098,0.7187007656509549,-238.66246784920375,0.2709054031906172,0.14372539538275317,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.13499999999999995,134.99999999999994,1.0,842.5159000742159,842.5159000742159,0.13900924262108294,0.13900924262108294,-8.29102671599116,0.009840795544939647,0.13900730626123456,0.0,4,4,True,True,True,True,,
